step,efficiency/elapsed_wall_seconds,efficiency/optimizer_state_bytes,efficiency/peak_cuda_memory_bytes,efficiency/sequences_per_second,efficiency/tokens_per_second,grad_norm,lr,memory/max_allocated_gb,memory/max_reserved_gb,step_loss,throughput/sequences_per_second,throughput/tokens_per_second,wall_time_seconds
10,29.526882958831266,2047423668.0,7681658880.0,10.837581482819216,11086.84585692406,1.6828194856643677,3.6e-05,7.154102325439453,8.0078125,10.245920181274414,10.837581482819216,11086.84585692406,29.526882958831266
20,32.772000568918884,2047423668.0,7681658880.0,98.60967719791209,100877.69977346408,1.8354181051254272,7.6e-05,7.154102325439453,8.0078125,8.757434844970703,98.60967719791209,100877.69977346408,32.772000568918884
30,36.0203557938803,2047423668.0,7681658880.0,98.51139356343057,100777.15561538948,1.2032470703125,0.000116,7.154102325439453,8.0078125,7.8553853034973145,98.51139356343057,100777.15561538948,36.0203557938803
40,39.27302450290881,2047423668.0,7681658880.0,98.38075396727866,100643.51130852608,0.692095160484314,0.00015600000000000002,7.154102325439453,8.0078125,7.354852199554443,98.38075396727866,100643.51130852608,39.27302450290881
50,42.53377580293454,2047423668.0,7681658880.0,98.13689256137836,100394.04109029006,0.5467379093170166,0.000196,7.154102325439453,8.0078125,7.033909797668457,98.13689256137836,100394.04109029006,42.53377580293454
60,45.80349117098376,2047423668.0,7681658880.0,97.86784596817023,100118.80642543813,0.555776059627533,0.000236,7.154102325439453,8.0078125,6.8089728355407715,97.86784596817023,100118.80642543813,45.80349117098376
70,49.07994128600694,2047423668.0,7681658880.0,97.66667849839551,99913.01210385861,0.5847168564796448,0.000276,7.154102325439453,8.0078125,6.611642360687256,97.66667849839551,99913.01210385861,49.07994128600694
80,52.359220921993256,2047423668.0,7681658880.0,97.58240696778918,99826.80232804833,0.5806956887245178,0.00031600000000000004,7.154102325439453,8.0078125,6.557920932769775,97.58240696778918,99826.80232804833,52.359220921993256
90,55.64516932494007,2047423668.0,7681658880.0,97.38436541274547,99624.20581723862,0.6156370043754578,0.00035600000000000003,7.154102325439453,8.0078125,6.358343124389648,97.38436541274547,99624.20581723862,55.64516932494007
100,58.93102507200092,2047423668.0,7681658880.0,97.38711149636903,99627.01506078552,0.4742143154144287,0.00039600000000000003,7.154102325439453,8.0078125,6.398414134979248,97.38711149636903,99627.01506078552,58.93102507200092
110,62.22084446880035,2047423668.0,7681658880.0,97.2697772744968,99506.98215181023,0.4883832633495331,0.000399265306122449,7.154102325439453,8.0078125,6.174867630004883,97.2697772744968,99506.98215181023,62.22084446880035
120,65.5142087850254,2047423668.0,7681658880.0,97.1650777970392,99399.87458637111,0.6308041214942932,0.0003984489795918367,7.154102325439453,8.0078125,6.07521915435791,97.1650777970392,99399.87458637111,65.5142087850254
130,68.81257023196667,2047423668.0,7681658880.0,97.0178693717001,99249.2803672492,0.46846824884414673,0.00039763265306122454,7.154102325439453,8.0078125,6.113261699676514,97.0178693717001,99249.2803672492,68.81257023196667
140,72.11228512483649,2047423668.0,7681658880.0,96.97807549721087,99208.57123364671,0.4183873236179352,0.00039681632653061226,7.154102325439453,8.0078125,6.0415215492248535,96.97807549721087,99208.57123364671,72.11228512483649
150,75.41291128098965,2047423668.0,7681658880.0,96.95130101403439,99181.18093735717,0.4003605246543884,0.00039600000000000003,7.154102325439453,8.0078125,5.885767936706543,96.95130101403439,99181.18093735717,75.41291128098965
160,78.7158478628844,2047423668.0,7681658880.0,96.8834829448737,99111.8030526058,0.4683433175086975,0.00039518367346938775,7.154102325439453,8.0078125,5.8433356285095215,96.8834829448737,99111.8030526058,78.7158478628844
170,82.0188799300231,2047423668.0,7681658880.0,96.88068220215753,99108.93789280715,0.47160619497299194,0.0003943673469387756,7.154102325439453,8.0078125,5.818174362182617,96.88068220215753,99108.93789280715,82.0188799300231
180,85.3266763058491,2047423668.0,7681658880.0,96.74114233228511,98966.18860592766,0.5277679562568665,0.0003935510204081633,7.154102325439453,8.0078125,5.855470657348633,96.74114233228511,98966.18860592766,85.3266763058491
190,88.6389430379495,2047423668.0,7681658880.0,96.61057694984588,98832.62021969234,0.4827719032764435,0.00039273469387755106,7.154102325439453,8.0078125,5.735781192779541,96.61057694984588,98832.62021969234,88.6389430379495
200,91.95723105082288,2047423668.0,7681658880.0,96.43526986161298,98653.28106843008,0.3863556385040283,0.0003919183673469388,7.154102325439453,8.0078125,5.6923322677612305,96.43526986161298,98653.28106843008,91.95723105082288
210,95.27332990686409,2047423668.0,7681658880.0,96.49893259877639,98718.40804854824,0.40790173411369324,0.00039110204081632655,7.154102325439453,8.0078125,5.616089820861816,96.49893259877639,98718.40804854824,95.27332990686409
220,98.59284528181888,2047423668.0,7681658880.0,96.399613755173,98616.80487154197,0.39247769117355347,0.0003902857142857143,7.154102325439453,8.0078125,5.652066707611084,96.399613755173,98616.80487154197,98.59284528181888
230,101.91415871703066,2047423668.0,7681658880.0,96.34742587298021,98563.41666805875,0.41993364691734314,0.00038946938775510204,7.154102325439453,8.0078125,5.521613121032715,96.34742587298021,98563.41666805875,101.91415871703066
240,105.23464584699832,2047423668.0,7681658880.0,96.37140198857409,98587.94423431129,0.39920711517333984,0.0003886530612244898,7.154102325439453,8.0078125,5.563446044921875,96.37140198857409,98587.94423431129,105.23464584699832
250,108.55776652484201,2047423668.0,7681658880.0,96.29502838507867,98509.81403793549,0.4187193810939789,0.00038783673469387753,7.154102325439453,8.0078125,5.401700973510742,96.29502838507867,98509.81403793549,108.55776652484201
260,111.88253988488577,2047423668.0,7681658880.0,96.24716194062258,98460.84666525689,0.3744560778141022,0.00038702040816326536,7.154102325439453,8.0078125,5.424557209014893,96.24716194062258,98460.84666525689,111.88253988488577
270,115.20871613989584,2047423668.0,7681658880.0,96.20656738138831,98419.31843116025,0.4454200267791748,0.0003862040816326531,7.154102325439453,8.0078125,5.369928359985352,96.20656738138831,98419.31843116025,115.20871613989584
280,118.53266010782681,2047423668.0,7681658880.0,96.271177579202,98485.41466352365,0.4835004508495331,0.00038538775510204085,7.154102325439453,8.0078125,5.425083637237549,96.271177579202,98485.41466352365,118.53266010782681
290,121.85736105684191,2047423668.0,7681658880.0,96.24925817607635,98462.9911141261,0.40880969166755676,0.00038457142857142856,7.154102325439453,8.0078125,5.480623722076416,96.24925817607635,98462.9911141261,121.85736105684191
300,125.18298664898612,2047423668.0,7681658880.0,96.22249743203326,98435.61487297004,0.4474444091320038,0.00038375510204081634,7.154102325439453,8.0078125,5.381412029266357,96.22249743203326,98435.61487297004,125.18298664898612
310,128.51015025097877,2047423668.0,7681658880.0,96.17801775913595,98390.11216759607,0.3821016550064087,0.0003829387755102041,7.154102325439453,8.0078125,5.491942882537842,96.17801775913595,98390.11216759607,128.51015025097877
320,131.83841734495945,2047423668.0,7681658880.0,96.14612979190699,98357.49077712084,0.3671101927757263,0.0003821224489795919,7.154102325439453,8.0078125,5.306827068328857,96.14612979190699,98357.49077712084,131.83841734495945
