step,efficiency/elapsed_wall_seconds,efficiency/optimizer_state_bytes,efficiency/peak_cuda_memory_bytes,efficiency/sequences_per_second,efficiency/tokens_per_second,grad_norm,lr,memory/max_allocated_gb,memory/max_reserved_gb,step_loss,throughput/sequences_per_second,throughput/tokens_per_second,wall_time_seconds
10,31.52144813607447,3700044424.0,9336470016.0,10.151817854896665,10385.309665559289,2.138355255126953,3.6e-05,8.695265293121338,10.373046875,10.030900955200195,10.151817854896665,10385.309665559289,31.52144813607447
20,34.9347314350307,3700044424.0,9336470016.0,93.7513742553555,95907.65586322868,1.7376086711883545,7.6e-05,8.695265293121338,10.373046875,8.650527954101562,93.7513742553555,95907.65586322868,34.9347314350307
30,38.349214441142976,3700044424.0,9336470016.0,93.71843392606345,95873.95790636292,1.1327753067016602,0.000116,8.695265293121338,10.373046875,7.737706661224365,93.71843392606345,95873.95790636292,38.349214441142976
40,41.767609908943996,3700044424.0,9336470016.0,93.61117021543711,95764.22713039216,0.5556755065917969,0.00015600000000000002,8.695265293121338,10.373046875,7.274456024169922,93.61117021543711,95764.22713039216,41.767609908943996
50,45.18956707394682,3700044424.0,9336470016.0,93.51373631228257,95664.55224746506,1.440982699394226,0.000196,8.695265293121338,10.373046875,7.04026460647583,93.51373631228257,95664.55224746506,45.18956707394682
60,48.61531848995946,3700044424.0,9336470016.0,93.41016353500031,95558.5972963053,1.3914738893508911,0.000236,8.695265293121338,10.373046875,6.799647808074951,93.41016353500031,95558.5972963053,48.61531848995946
70,52.04280459694564,3700044424.0,9336470016.0,93.36288755416108,95510.23396790678,1.0266999006271362,0.000276,8.695265293121338,10.373046875,6.642131328582764,93.36288755416108,95510.23396790678,52.04280459694564
80,55.47226806706749,3700044424.0,9336470016.0,93.30905629638642,95455.1645912033,0.5874444246292114,0.00031600000000000004,8.695265293121338,10.373046875,6.597346305847168,93.30905629638642,95455.1645912033,55.47226806706749
90,58.903358266921714,3700044424.0,9336470016.0,93.26481711661083,95409.90791029288,0.6375018954277039,0.00035600000000000003,8.695265293121338,10.373046875,6.400367736816406,93.26481711661083,95409.90791029288,58.903358266921714
100,62.335615603020415,3700044424.0,9336470016.0,93.23310249333758,95377.46385068435,0.5870955586433411,0.00039600000000000003,8.695265293121338,10.373046875,6.474921703338623,93.23310249333758,95377.46385068435,62.335615603020415
110,65.76981497113593,3700044424.0,9336470016.0,93.18037938362241,95323.52810944573,0.5402093529701233,0.000399265306122449,8.695265293121338,10.373046875,6.264916896820068,93.18037938362241,95323.52810944573,65.76981497113593
120,69.20653228810988,3700044424.0,9336470016.0,93.11210975063887,95253.68827490356,0.7806329131126404,0.0003984489795918367,8.695265293121338,10.373046875,6.206617832183838,93.11210975063887,95253.68827490356,69.20653228810988
130,72.64395222603343,3700044424.0,9336470016.0,93.09307730183909,95234.21807978138,0.4827241599559784,0.00039763265306122454,8.695265293121338,10.373046875,6.271813869476318,93.09307730183909,95234.21807978138,72.64395222603343
140,76.08200161391869,3700044424.0,9336470016.0,93.07603349957455,95216.78227006477,0.37817883491516113,0.00039681632653061226,8.695265293121338,10.373046875,6.185886383056641,93.07603349957455,95216.78227006477,76.08200161391869
150,79.52306430600584,3700044424.0,9336470016.0,92.99452774744626,95133.40188563752,0.4790998697280884,0.00039600000000000003,8.695265293121338,10.373046875,6.024869441986084,92.99452774744626,95133.40188563752,79.52306430600584
160,82.9688308860641,3700044424.0,9336470016.0,92.86757897413625,95003.53329054138,0.5083281397819519,0.00039518367346938775,8.695265293121338,10.373046875,5.982813835144043,92.86757897413625,95003.53329054138,82.9688308860641
170,86.41596683301032,3700044424.0,9336470016.0,92.83068754032884,94965.79335375641,0.3767261207103729,0.0003943673469387756,8.695265293121338,10.373046875,5.956546306610107,92.83068754032884,94965.79335375641,86.41596683301032
180,89.8640638331417,3700044424.0,9336470016.0,92.80481378215491,94939.32449914447,0.37079504132270813,0.0003935510204081633,8.695265293121338,10.373046875,6.018672943115234,92.80481378215491,94939.32449914447,89.8640638331417
190,93.31212636898272,3700044424.0,9336470016.0,92.80574139063539,94940.27344262,0.4822193682193756,0.00039273469387755106,8.695265293121338,10.373046875,5.896198272705078,92.80574139063539,94940.27344262,93.31212636898272
200,96.75930494302884,3700044424.0,9336470016.0,92.82953961517593,94964.61902632499,0.46359896659851074,0.0003919183673469388,8.695265293121338,10.373046875,5.861771106719971,92.82953961517593,94964.61902632499,96.75930494302884
210,100.2113239839673,3700044424.0,9336470016.0,92.69937280328695,94831.45837776255,0.4413325786590576,0.00039110204081632655,8.695265293121338,10.373046875,5.802567481994629,92.69937280328695,94831.45837776255,100.2113239839673
220,103.66229630005546,3700044424.0,9336470016.0,92.72748973041186,94860.22199421133,0.310118705034256,0.0003902857142857143,8.695265293121338,10.373046875,5.833007335662842,92.72748973041186,94860.22199421133,103.66229630005546
230,107.11488623498008,3700044424.0,9336470016.0,92.68404474074526,94815.7777697824,0.3580375015735626,0.00038946938775510204,8.695265293121338,10.373046875,5.7188029289245605,92.68404474074526,94815.7777697824,107.11488623498008
240,110.56823172210716,3700044424.0,9336470016.0,92.66376653967963,94795.03317009225,0.35632798075675964,0.0003886530612244898,8.695265293121338,10.373046875,5.753263473510742,92.66376653967963,94795.03317009225,110.56823172210716
250,123.19057854101993,3700044424.0,9336470016.0,25.3518624223291,25934.955258042668,0.335324227809906,0.00038783673469387753,8.695265293121338,11.875,5.59568452835083,25.3518624223291,25934.955258042668,123.19057854101993
260,135.7871189150028,3700044424.0,9336470016.0,25.403800607104326,25988.088021067728,0.48475438356399536,0.00038702040816326536,8.695265293121338,12.10546875,5.910437107086182,25.403800607104326,25988.088021067728,135.7871189150028
270,148.3761039210949,3700044424.0,9336470016.0,25.419046876705647,26003.684954869874,0.5242627263069153,0.0003862040816326531,8.695265293121338,12.10546875,5.809481620788574,25.419046876705647,26003.684954869874,148.3761039210949
280,160.94708385202102,3700044424.0,9336470016.0,25.45545389128828,26040.92933078791,0.40989312529563904,0.00038538775510204085,8.695265293121338,12.10546875,5.803728103637695,25.45545389128828,26040.92933078791,160.94708385202102
290,173.50736589403823,3700044424.0,9336470016.0,25.477134902665558,26063.109005426864,0.4084051549434662,0.00038457142857142856,8.695265293121338,12.10546875,5.846686363220215,25.477134902665558,26063.109005426864,173.50736589403823
300,186.06285227113403,3700044424.0,9336470016.0,25.48686609096691,26073.06401105915,0.49000421166419983,0.00038375510204081634,8.695265293121338,12.10546875,5.739024639129639,25.48686609096691,26073.06401105915,186.06285227113403
310,198.6200877239462,3700044424.0,9336470016.0,25.48331606924968,26069.43233884242,0.732082724571228,0.0003829387755102041,8.695265293121338,12.10546875,5.871764659881592,25.48331606924968,26069.43233884242,198.6200877239462
320,211.16923476895317,3700044424.0,9336470016.0,25.49974104633038,26086.23509039598,0.3759426474571228,0.0003821224489795919,8.695265293121338,12.10546875,5.616942882537842,25.49974104633038,26086.23509039598,211.16923476895317
